id,main_category,category,sub_category,item_name,standard,unit,crew_composition_text,productivity_type,skill_worker_1_pum,skill_worker_1_count,skill_worker_2_pum,skill_worker_2_count,special_worker_pum,special_worker_count,common_worker_pum,common_worker_count,equipment_pum,equipment_count,pumsam_workload,molit_workload
222,"RC공사","거푸집","갱폼","6-3-8 갱폼 설치 및 해체('08, '09, '17, '24년 보완)","마감층  및 해체, 벽식기준","㎡","형틀목공 5인, 보통인부 1인 기준","인력 생산성",0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50.0,50.0
221,"RC공사","거푸집","갱폼","6-3-8 갱폼 설치 및 해체('08, '09, '17, '24년 보완)","셋팅층  및 해체, 벽식기준","㎡","형틀목공 5인, 보통인부 1인 기준","인력 생산성",0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,40.0,40.0
223,"RC공사","거푸집","갱폼","6-3-8 갱폼 설치 및 해체('08, '09, '17, '24년 보완)","일반층  및 해체, 벽식기준","㎡","형틀목공 5인, 보통인부 1인 기준","인력 생산성",0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,90.0,90.0
219,"RC공사","거푸집","알루미늄폼","6-3-7 알루미늄폼 설치 및 해체('08년 신설, '17, '24년 보완)","마감층  및 해체, 벽식기준","㎡","형틀목공 4인, 보통인부 1인 기준","인력 생산성",0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,40.0,40.0
218,"RC공사","거푸집","알루미늄폼","6-3-7 알루미늄폼 설치 및 해체('08년 신설, '17, '24년 보완)","셋팅층  및 해체, 벽식기준","㎡","형틀목공 4인, 보통인부 1인 기준","인력 생산성",0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,30.0
220,"RC공사","거푸집","알루미늄폼","6-3-7 알루미늄폼 설치 및 해체('08년 신설, '17, '24년 보완)","일반층  및 해체, 벽식기준","㎡","형틀목공 4인, 보통인부 1인 기준","인력 생산성",0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,70.0,70.0
214,"RC공사","거푸집","유로폼
수직고 7m 이하","6-3-3 유로폼 설치 및 해체('08, '09, '17, '22년 보완)","간단","㎡","형틀목공 4인, 보통인부 1인 기준","인력 생산성",0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,40.0,65.0
215,"RC공사","거푸집","유로폼
수직고 7m 이하","6-3-3 유로폼 설치 및 해체('08, '09, '17, '22년 보완)","보통","㎡","형틀목공 4인, 보통인부 1인 기준","인력 생산성",0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,35.0,50.0
216,"RC공사","거푸집","유로폼
수직고 7m 이하","6-3-3 유로폼 설치 및 해체('08, '09, '17, '22년 보완)","보통(해체)","㎡","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0
217,"RC공사","거푸집","유로폼
수직고 7m 이하","6-3-3 유로폼 설치 및 해체('08, '09, '17, '22년 보완)","복잡","㎡","형틀목공 4인, 보통인부 1인 기준","인력 생산성",0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0,0.0
