중공종,공정,세부공종,표준품셈 목차,규격,단위(표준품셈 기준),산근근거(작업조 1팀당 인원 및 장비구성),기능공1,기능공2,특별인부,보통인부,장비,투입 품,표준품셈,국토부 가이드라인,평균
가설공사,가설물의 한도,토목,"2-1-1 현장사무소 등의 규모(토목)('02, '22년 보완)",현 장 사 무 소 (㎡),,"1.5억미만1.5 401.5억, ∼3억3 60미만, ∼9억 801.5, 9∼30억 100∼3억, 30∼90억 1503, 90∼150억 200∼, 150∼300억 2609억, 300∼500억 2809, 500억이상 300∼30억 기준",0,0,0,0,1470,1470,1,0,1
가설공사,가설물의 한도,토목,"2-1-1 현장사무소 등의 규모(토목)('02, '22년 보완)",현 장 사 무 소 (㎡),,"1.5억미만1.5 501.5억, ∼3억3 75미만, ∼9억 1001.5, 9∼30억 130∼3억, 30∼90억 2003, 90∼150억 300∼, 150∼300억 4409억, 300∼500억 4909, 500억이상 520∼30억 기준",0,0,0,0,2305,2305,1,0,1
가설공사,가설물의 한도,토목,"2-1-1 현장사무소 등의 규모(토목)('02, '22년 보완)",기자재창고 (㎡),,"1.5억미만1.5 401.5억, ∼3억3 50미만, ∼9억 601.5, 9∼30억 80∼3억, 30∼90억 1003, 90∼150억 120∼, 150∼300억 1309억, 300∼500억 1359, 500억이상 140∼30억 기준",0,0,0,0,855,855,1,0,1
가설공사,가설물의 한도,토목,"2-1-1 현장사무소 등의 규모(토목)('02, '22년 보완)",숙 소 (㎡),,"1.5억미만1.5 601.5억, ∼3억3 70미만, ∼9억 801.5, 9∼30억 100∼3억, 30∼90억 1803, 90∼150억 260∼, 150∼300억 3609억, 300∼500억 4009, 500억이상 420∼30억 기준",0,0,0,0,1930,1930,1,0,1
가설공사,가설물의 한도,건축및기계설비,"2-1-2 현장사무소 등의 규모(건축 및 기계설비)('02, '22년 보완)",현 장 사 무 소 (㎡),,"1.5억미만1.5 301.5억, ∼3억3 40미만, ∼9억 501.5, 9∼30억 70∼3억, 30∼90억 1003, 90∼150억 140∼, 150∼300억 1809억, 300∼500억 1909, 500억이상 210∼30억 기준",0,0,0,0,1010,1010,1,0,1
가설공사,가설물의 한도,건축및기계설비,"2-1-2 현장사무소 등의 규모(건축 및 기계설비)('02, '22년 보완)",현 장 사 무 소 (㎡),,"1.5억미만1.5 301.5억, ∼3억3 50미만, ∼9억 701.5, 9∼30억 90∼3억, 30∼90억 1403, 90∼150억 210∼, 150∼300억 3009억, 300∼500억 3309, 500억이상 360∼30억 기준",0,0,0,0,1580,1580,1,0,1
가설공사,가설물의 한도,건축및기계설비,"2-1-2 현장사무소 등의 규모(건축 및 기계설비)('02, '22년 보완)",기자재창고 (㎡),,"1.5억미만1.5 271.5억, ∼3억3 30미만, ∼9억 401.5, 9∼30억 50∼3억, 30∼90억 703, 90∼150억 80∼, 150∼300억 909억, 300∼500억 959, 500억이상 100∼30억 기준",0,0,0,0,582,582,1,0,1
가설공사,손율,,"2-2-2 주요자재('22, '26년 보완)",철물창,,"3개월 30%, 6개월 45%, 1개년 60%, 2개년 80%, 2개년초과평균손율 85% 기준",0,0,0,0,300,300,1,0,1
가설공사,손율,,"2-2-2 주요자재('22, '26년 보완)",호흄,,"3개월 30%, 6개월 40%, 1개년 60%, 2개년 80%, 2개년초과평균손율 100% 기준",0,0,0,0,310,310,1,0,1
가설공사,손율,,"2-2-2 주요자재('22, '26년 보완)",관강,,"3개월 80%, 6개월 100%, 1개년 100%, 2개년 100%, 2개년초과평균손율 100% 기준",0,0,0,0,480,480,1,0,1
가설공사,손율,,"2-2-2 주요자재('22, '26년 보완)",재류,,"3개월 15%, 6개월 30%, 1개년 50%, 2개년 75%, 2개년초과평균손율 85% 기준",0,0,0,0,255,255,1,0,1
가설공사,손율,,"2-2-5 구조물 비계('22, '26년 보완)",손 율,,"3개월6〃 73개월, 12〃 116〃, 18〃 2112, 24〃 28〃, 30〃 3718, 36〃 46〃, 42〃 5524, 48〃 64〃, 54〃 7330, 60〃 84〃, 66 9136, 〃 100〃 기준",0,0,0,0,617,617,1,0,1
가설공사,손율,,"2-2-5 구조물 비계('22, '26년 보완)",손 율,,"3개월6〃 93개월, 12〃 156〃, 18〃 2912, 24〃 42〃, 30〃 5618, 36〃 69〃, 42〃 8324, 48〃 96〃, 54〃 10030, 60〃 100〃, 66 10036, 〃 100〃 기준",0,0,0,0,799,799,1,0,1
가설공사,손율,,"2-2-5 구조물 비계('22, '26년 보완)",손 율,,"3개월6〃 123개월, 12〃 206〃, 18〃 3812, 24〃 56〃, 30〃 7418, 36〃 92〃, 42〃 10024, 48〃 100〃, 54〃 10030, 60〃 100〃, 66 10036, 〃 100〃 기준",0,0,0,0,892,892,1,0,1
가설공사,손율,,"2-2-5 구조물 비계('22, '26년 보완)",손 율,,"3개월6〃 1003개월, 12〃 1006〃, 18〃 10012, 24〃 100〃, 30〃 10018, 36〃 100〃, 42〃 10024, 48〃 100〃, 54〃 10030, 60〃 100〃, 66 10036, 〃 100〃 기준",0,0,0,0,1200,1200,1,0,1
가설공사,가설건축물,,"2-3-1 철제조립식 가설건축물 설치 및 해체('92년 신설, '09, '22년 보완)",사무실,㎡,"건축목공 0.26인, 보통인부 0.11인, 크레인 0.19hr 기준",0.26,0,0,0.11,0.19,0.56,1,0,1
가설공사,가설건축물,,"2-3-1 철제조립식 가설건축물 설치 및 해체('92년 신설, '09, '22년 보완)",창고,㎡,"건축목공 0.2인, 보통인부 0.09인, 크레인 0.15hr 기준",0.2,0,0,0.09,0.15,0.44,1,0,1
가설공사,가설건축물,,"2-3-2 콘테이너형 가설건축물 설치 및 해체('09, '22년 보완)",3.0x3.0m,개소,"비계공 0.4인, 특별인부 0.18인, 크레인 2hr 기준",0.4,0,0.18,0,2,2.58,1,0,1
가설공사,가설건축물,,"2-3-2 콘테이너형 가설건축물 설치 및 해체('09, '22년 보완)",3.0x6.0m,개소,"비계공 0.58인, 특별인부 0.34인, 크레인 2hr 기준",0.58,0,0.34,0,2,2.92,1,0,1
가설공사,가설건축물,,"2-3-2 콘테이너형 가설건축물 설치 및 해체('09, '22년 보완)",3.0x9.0m,개소,"비계공 0.78인, 특별인부 0.38인, 크레인 2hr 기준",0.78,0,0.38,0,2,3.16,1,0,1
가설공사,가설울타리 및 가설방음벽,,2-4-1 강관 지주 설치 및 해체,지주높이 4m이하 설 치,m,"비계공 3인, 보통인부 1인, 굴착기 0.5대 기준",0.03,0,0,0.01,0.005,0.045,100,0,100
가설공사,가설울타리 및 가설방음벽,,2-4-1 강관 지주 설치 및 해체,지주높이 4m이하 해 체,m,"비계공 3인, 보통인부 1인, 굴착기 0.5대 기준",0.012,0,0,0.004,0.002,0.018,250,0,250
가설공사,가설울타리 및 가설방음벽,,2-4-1 강관 지주 설치 및 해체,지주높이 7m이하 설 치,m,"비계공 3인, 보통인부 1인, 굴착기 0.5대 기준",0.0429,0,0,0.0143,0.0071,0.0643,70,0,70
가설공사,가설울타리 및 가설방음벽,,2-4-1 강관 지주 설치 및 해체,지주높이 7m이하 해 체,m,"비계공 3인, 보통인부 1인, 굴착기 0.5대 기준",0.0167,0,0,0.0056,0.0028,0.025,180,0,180
가설공사,가설울타리 및 가설방음벽,,2-4-2 H형강 지주 설치 및 해체,지주높이 4m이하 설 치,m,"비계공 3인, 보통인부 1인, 굴착기 0.5대, 크레인 1대 기준",0.0429,0,0,0.0143,0.0214,0.0786,70,0,70
가설공사,가설울타리 및 가설방음벽,,2-4-2 H형강 지주 설치 및 해체,지주높이 4m이하 해 체,m,"비계공 3인, 보통인부 1인, 굴착기 0.5대, 크레인 1대 기준",0.0176,0,0,0.0059,0.0088,0.0324,170,0,170
가설공사,가설울타리 및 가설방음벽,,2-4-2 H형강 지주 설치 및 해체,지주높이 7m이하 설 치,m,"비계공 3인, 보통인부 1인, 굴착기 0.5대, 크레인 1대 기준",0.075,0,0,0.025,0.0375,0.1375,40,0,40
가설공사,가설울타리 및 가설방음벽,,2-4-2 H형강 지주 설치 및 해체,지주높이 7m이하 해 체,m,"비계공 3인, 보통인부 1인, 굴착기 0.5대, 크레인 1대 기준",0.03,0,0,0.01,0.015,0.055,100,0,100
가설공사,가설울타리 및 가설방음벽,,2-4-2 H형강 지주 설치 및 해체,지주높이 11m이하 설 치,m,"비계공 3인, 보통인부 1인, 굴착기 0.5대, 크레인 1대 기준",0.12,0,0,0.04,0.06,0.22,25,0,25
가설공사,가설울타리 및 가설방음벽,,2-4-2 H형강 지주 설치 및 해체,지주높이 11m이하 해 체,m,"비계공 3인, 보통인부 1인, 굴착기 0.5대, 크레인 1대 기준",0.0462,0,0,0.0154,0.0231,0.0846,65,0,65
가설공사,가설울타리 및 가설방음벽,,2-4-3 가설울타리판 설치 및 해체,설치높이 3m이하 설 치,m,"비계공 3인, 보통인부 1인 기준",0.0273,0,0,0.0091,0,0.0364,110,0,110
가설공사,가설울타리 및 가설방음벽,,2-4-3 가설울타리판 설치 및 해체,설치높이 3m이하 해 체,m,"비계공 3인, 보통인부 1인 기준",0.0107,0,0,0.0036,0,0.0143,280,0,280
가설공사,가설울타리 및 가설방음벽,,2-4-3 가설울타리판 설치 및 해체,설치높이 6m이하 설 치,m,"비계공 3인, 보통인부 1인 기준",0.0316,0,0,0.0105,0,0.0421,95,0,95
가설공사,가설울타리 및 가설방음벽,,2-4-3 가설울타리판 설치 및 해체,설치높이 6m이하 해 체,m,"비계공 3인, 보통인부 1인 기준",0.013,0,0,0.0043,0,0.0174,230,0,230
